10 90
Warszawa Kraków  296
Warszawa Łódź 133
Warszawa Wrocław 389
Warszawa Poznań  311
Warszawa Gdańsk 360
Warszawa Szczecin 558
Warszawa Bydgoszcz 260
Warszawa Lublin 168
Warszawa Katowice 291
Kraków Warszawa	296 
Kraków Łódź 262 
Kraków Wrocław 272 
Kraków Poznań 445
Kraków Gdańsk 564 
Kraków Szczecin 645 
Kraków Bydgoszcz 450 
Kraków Lublin 280 
Kraków Katowice 82
Łódź Warszawa 133 
Łódź Kraków 262
Łódź Wrocław 219 
Łódź Poznań 201 
Łódź Gdańsk 337 
Łódź Szczecin 449 
Łódź Bydgoszcz 223 
Łódź Lublin 287 
Łódź Katowice 193
Wrocław Warszawa 389 
Wrocław	Kraków 272 
Wrocław	Łódź 219
Wrocław	Poznań 164 
Wrocław	Gdańsk 459 
Wrocław	Szczecin 377 
Wrocław	Bydgoszcz 277 
Wrocław	Lublin 429 
Wrocław	Katowice 194
Poznań Warszawa 311 
Poznań Kraków 445 
Poznań Wrocław 201 
Poznań Łódź 164 
Poznań Gdańsk 316 
Poznań Szczecin 243 
Poznań Bydgoszcz 140 
Poznań Lublin 467 
Poznań Katowice 367
Gdańsk Warszawa 360 
Gdańsk Kraków 564 
Gdańsk Łódź 337 
Gdańsk Wrocław 459 
Gdańsk Poznań 316
Gdańsk Szczecin 366 
Gdańsk Bydgoszcz 170 
Gdańsk Lublin 508 
Gdańsk Katowice 531
Szczecin Warszawa 558 
Szczecin Kraków 645 
Szczecin Łódź 449 
Szczecin Wrocław 377 
Szczecin Poznań 243
Szczecin Gdańsk 366
Szczecin Bydgoszcz 258 
Szczecin Lublin 711 
Szczecin Katowice 568
Bydgoszcz Warszawa 260 
Bydgoszcz Kraków 450 
Bydgoszcz Łódź 223 
Bydgoszcz Wrocław 277 
Bydgoszcz Poznań 140 
Bydgoszcz Gdańsk 170 
Bydgoszcz Szczecin 258 
Bydgoszcz Lublin 427 
Bydgoszcz Katowice 416
Lublin Warszawa 168 
Lublin Kraków 280 
Lublin Łódź 287 
Lublin Wrocław 429 
Lublin Poznań 467 
Lublin Gdańsk 508 
Lublin Szczecin 711 
Lublin Bydgoszcz 427 
Lublin Katowice 343
Katowice Warszawa 291
Katowice Kraków 82
Katowice Łódź 193
Katowice Wrocław 194
Katowice Poznań 367
Katowice Gdańsk 531
Katowice Szczecin 568
Katowice Bydgoszcz 416
Katowice Lublin 343
